,CONTRACTOR,STATUS,SUM
0,"Acme, Inc",WAITING,415
1,"Umbrella, Inc",WAITING,646
2,"Umbrella, Inc",OK,780
3,"Umbrella, Inc",CANCELED,887
4,"Umbrella, Inc",OK,255
5,"Acme, Inc",OK,507
6,"Umbrella, Inc",CANCELED,571
7,"Acme, Inc",OK,204
8,"Acme, Inc",OK,564
9,"Acme, Inc",OK,280
10,"Acme, Inc",OK,917
11,"Acme, Inc",CANCELED,307
12,"Acme, Inc",WAITING,600
13,"Acme, Inc",WAITING,463
14,"Umbrella, Inc",WAITING,855
15,"Umbrella, Inc",WAITING,996
16,"Umbrella, Inc",CANCELED,788
17,"Umbrella, Inc",CANCELED,298
18,"Acme, Inc",OK,278
19,"Umbrella, Inc",OK,122
20,"Acme, Inc",WAITING,737
21,"Umbrella, Inc",WAITING,569
22,"Umbrella, Inc",WAITING,139
23,"Umbrella, Inc",CANCELED,385
24,"Acme, Inc",OK,740
25,"Acme, Inc",WAITING,200
26,"Umbrella, Inc",CANCELED,702
27,"Umbrella, Inc",WAITING,231
28,"Acme, Inc",WAITING,348
29,"Umbrella, Inc",OK,295
30,"Acme, Inc",WAITING,313
31,"Acme, Inc",CANCELED,444
32,"Acme, Inc",WAITING,808
33,"Umbrella, Inc",OK,453
34,"Umbrella, Inc",WAITING,495
35,"Umbrella, Inc",OK,631
36,"Umbrella, Inc",OK,702
37,"Acme, Inc",CANCELED,441
38,"Umbrella, Inc",CANCELED,957
39,"Umbrella, Inc",WAITING,901
40,"Umbrella, Inc",CANCELED,868
41,"Umbrella, Inc",CANCELED,598
42,"Acme, Inc",CANCELED,142
43,"Acme, Inc",CANCELED,630
44,"Umbrella, Inc",CANCELED,223
45,"Acme, Inc",OK,715
46,"Umbrella, Inc",OK,976
47,"Umbrella, Inc",WAITING,151
48,"Acme, Inc",OK,400
49,"Acme, Inc",WAITING,466
50,"Umbrella, Inc",CANCELED,711
51,"Umbrella, Inc",CANCELED,419
52,"Acme, Inc",CANCELED,831
53,"Umbrella, Inc",OK,956
54,"Acme, Inc",WAITING,776
55,"Acme, Inc",CANCELED,453
56,"Umbrella, Inc",WAITING,773
57,"Umbrella, Inc",CANCELED,991
58,"Acme, Inc",WAITING,578
59,"Umbrella, Inc",WAITING,400
60,"Umbrella, Inc",CANCELED,770
61,"Acme, Inc",WAITING,372
62,"Acme, Inc",OK,255
63,"Acme, Inc",OK,366
64,"Acme, Inc",OK,392
65,"Acme, Inc",OK,853
66,"Umbrella, Inc",OK,596
67,"Umbrella, Inc",WAITING,513
68,"Acme, Inc",OK,785
69,"Acme, Inc",CANCELED,203
70,"Umbrella, Inc",CANCELED,999
71,"Umbrella, Inc",WAITING,770
72,"Acme, Inc",WAITING,935
73,"Umbrella, Inc",WAITING,394
74,"Acme, Inc",WAITING,893
75,"Umbrella, Inc",WAITING,881
76,"Umbrella, Inc",WAITING,732
77,"Acme, Inc",OK,643
78,"Umbrella, Inc",CANCELED,350
79,"Acme, Inc",OK,188
